Format Version,1.23,Take Name,mono3d_angle_t2,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2024-09-28 04.06.01.934 PM,Total Frames in Take,3305,Total Exported Frames,3305,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
16,0.160000,0.022642,-0.051785,-0.011020,-0.998341,-0.720318,0.177750,0.067337,0.000567,-0.675204,0.217108,0.091207,0.903670,-0.692352,0.193243,0.033569,0.964522,-0.747565,0.190410,-0.003143,0.891510,-0.767450,0.216014,0.092299,0.885922,-0.673788,0.126786,0.094833,0.602171,-0.765549,0.122936,0.095253,0.855905,-0.675566,0.217239,0.091212,-0.692450,0.193307,0.033489,-0.747584,0.190842,-0.003110,-0.767628,0.216136,0.091898,-0.673422,0.125254,0.095061,-0.765137,0.123215,0.095545,,,
17,0.170000,0.022671,-0.051733,-0.010925,-0.998344,-0.720327,0.177774,0.067343,0.000559,-0.675209,0.217125,0.091217,0.909418,-0.692355,0.193260,0.033578,0.965212,-0.747564,0.190435,-0.003140,0.894401,-0.767455,0.216049,0.092299,0.879426,-0.673810,0.126804,0.094848,0.594877,-0.765572,0.122971,0.095259,0.853171,-0.675557,0.217225,0.091227,-0.692449,0.193314,0.033491,-0.747578,0.190856,-0.003116,-0.767692,0.216240,0.091924,-0.673432,0.125244,0.095070,-0.765128,0.123233,0.095540,,,
18,0.180000,0.022849,-0.051776,-0.010876,-0.998338,-0.720326,0.177791,0.067348,0.000567,-0.675202,0.217147,0.091203,0.906715,-0.692355,0.193263,0.033575,0.965880,-0.747567,0.190429,-0.003138,0.892477,-0.767448,0.216079,0.092293,0.881448,-0.673810,0.126827,0.094867,0.592479,-0.765573,0.123002,0.095287,0.847740,-0.675564,0.217238,0.091197,-0.692451,0.193312,0.033492,-0.747555,0.190857,-0.003101,-0.767699,0.216242,0.091925,-0.673424,0.125256,0.095063,-0.765128,0.123299,0.095579,,,
19,0.190000,0.022675,-0.051741,-0.011009,-0.998342,-0.720315,0.177759,0.067339,0.000576,-0.675202,0.217118,0.091211,0.907357,-0.692345,0.193250,0.033573,0.964004,-0.747555,0.190415,-0.003144,0.886851,-0.767448,0.216026,0.092295,0.887962,-0.673788,0.126797,0.094843,0.596585,-0.765550,0.122948,0.095256,0.856110,-0.675546,0.217257,0.091201,-0.692448,0.193303,0.033486,-0.747574,0.190867,-0.003117,-0.767631,0.216133,0.091900,-0.673442,0.125245,0.095121,-0.765131,0.123225,0.095537,,,
20,0.200000,0.022759,-0.051691,-0.010963,-0.998344,-0.720333,0.177784,0.067349,0.000560,-0.675220,0.217143,0.091219,0.907867,-0.692359,0.193267,0.033583,0.965653,-0.747565,0.190431,-0.003139,0.891447,-0.767466,0.216059,0.092294,0.881998,-0.673814,0.126823,0.094866,0.596956,-0.765576,0.122982,0.095270,0.856232,-0.675570,0.217258,0.091216,-0.692451,0.193307,0.033490,-0.747581,0.190864,-0.003114,-0.767693,0.216250,0.091926,-0.673451,0.125273,0.095125,-0.765131,0.123229,0.095539,,,
21,0.210000,0.022684,-0.051695,-0.011058,-0.998344,-0.720317,0.177768,0.067347,0.000575,-0.675210,0.217132,0.091223,0.907338,-0.692346,0.193262,0.033583,0.962871,-0.747552,0.190421,-0.003138,0.889584,-0.767456,0.216031,0.092298,0.888042,-0.673787,0.126811,0.094855,0.594378,-0.765549,0.122953,0.095260,0.856818,-0.675551,0.217277,0.091229,-0.692448,0.193319,0.033492,-0.747574,0.190861,-0.003112,-0.767631,0.216143,0.091902,-0.673445,0.125247,0.095118,-0.765133,0.123228,0.095542,,,
22,0.220000,0.022815,-0.051765,-0.010960,-0.998339,-0.720315,0.177782,0.067350,0.000583,-0.675198,0.217143,0.091209,0.905619,-0.692346,0.193260,0.033578,0.963509,-0.747557,0.190420,-0.003135,0.889073,-0.767444,0.216060,0.092297,0.889491,-0.673791,0.126823,0.094866,0.595674,-0.765553,0.122983,0.095284,0.848270,-0.675552,0.217273,0.091213,-0.692448,0.193316,0.033490,-0.747573,0.190863,-0.003111,-0.767627,0.216142,0.091903,-0.673446,0.125263,0.095117,-0.765125,0.123302,0.095572,,,
23,0.230000,0.022852,-0.051737,-0.010891,-0.998340,-0.720330,0.177795,0.067356,0.000572,-0.675210,0.217153,0.091215,0.907215,-0.692357,0.193268,0.033585,0.965588,-0.747567,0.190432,-0.003132,0.890855,-0.767456,0.216082,0.092297,0.883741,-0.673815,0.126833,0.094879,0.591499,-0.765578,0.123005,0.095292,0.848161,-0.675568,0.217251,0.091216,-0.692450,0.193309,0.033492,-0.747576,0.190868,-0.003110,-0.767691,0.216242,0.091930,-0.673445,0.125260,0.095120,-0.765124,0.123297,0.095571,,,
24,0.240000,0.022743,-0.051769,-0.010784,-0.998342,-0.720315,0.177760,0.067352,0.000574,-0.675184,0.217103,0.091216,0.909111,-0.692340,0.193233,0.033582,0.960513,-0.747553,0.190417,-0.003132,0.885946,-0.767430,0.216052,0.092304,0.884148,-0.673809,0.126782,0.094862,0.602971,-0.765573,0.122974,0.095279,0.848624,-0.675531,0.217210,0.091211,-0.692446,0.193303,0.033487,-0.747561,0.190873,-0.003112,-0.767637,0.216145,0.091900,-0.673447,0.125257,0.095121,-0.765147,0.123274,0.095589,,,
25,0.250000,0.022594,-0.051771,-0.011002,-0.998343,-0.720314,0.177761,0.067337,0.000571,-0.675199,0.217114,0.091213,0.903262,-0.692346,0.193256,0.033572,0.964513,-0.747558,0.190429,-0.003142,0.890675,-0.767445,0.216025,0.092302,0.887249,-0.673787,0.126793,0.094830,0.600196,-0.765549,0.122947,0.095248,0.853879,-0.675566,0.217237,0.091208,-0.692444,0.193322,0.033492,-0.747574,0.190865,-0.003112,-0.767625,0.216142,0.091906,-0.673424,0.125254,0.095070,-0.765130,0.123233,0.095538,,,
